STATE,STNAME,CTYNAME,fips,state,Year,Population,Year_datetime
FL,Florida,DeSoto County,12027.0,FL,2002,32662,2002-01-01
FL,Florida,Dixie County,12029.0,FL,2002,13940,2002-01-01
FL,Florida,Duval County,12031.0,FL,2002,802673,2002-01-01
FL,Florida,Escambia County,12033.0,FL,2002,299746,2002-01-01
FL,Florida,Flagler County,12035.0,FL,2002,57432,2002-01-01
FL,Florida,Franklin County,12037.0,FL,2002,9934,2002-01-01
FL,Florida,Gadsden County,12039.0,FL,2002,45182,2002-01-01
FL,Florida,Gilchrist County,12041.0,FL,2002,14874,2002-01-01
FL,Florida,Glades County,12043.0,FL,2002,10912,2002-01-01
FL,Florida,Gulf County,12045.0,FL,2002,14880,2002-01-01
FL,Florida,Hamilton County,12047.0,FL,2002,13698,2002-01-01
FL,Florida,Hardee County,12049.0,FL,2002,27284,2002-01-01
FL,Florida,Hendry County,12051.0,FL,2002,36248,2002-01-01
FL,Florida,Hernando County,12053.0,FL,2002,137681,2002-01-01
FL,Florida,Highlands County,12055.0,FL,2002,89822,2002-01-01
FL,Florida,Hillsborough County,12057.0,FL,2002,1050928,2002-01-01
FL,Florida,Holmes County,12059.0,FL,2002,18614,2002-01-01
FL,Florida,Indian River County,12061.0,FL,2002,117807,2002-01-01
FL,Florida,Jackson County,12063.0,FL,2002,46441,2002-01-01
FL,Florida,Jefferson County,12065.0,FL,2002,13200,2002-01-01
FL,Florida,Lafayette County,12067.0,FL,2002,7202,2002-01-01
FL,Florida,Lake County,12069.0,FL,2002,234662,2002-01-01
FL,Florida,Lee County,12071.0,FL,2002,474109,2002-01-01
FL,Florida,Leon County,12073.0,FL,2002,243733,2002-01-01
FL,Florida,Levy County,12075.0,FL,2002,35586,2002-01-01
FL,Florida,Liberty County,12077.0,FL,2002,7141,2002-01-01
FL,Florida,Madison County,12079.0,FL,2002,18621,2002-01-01
FL,Florida,Manatee County,12081.0,FL,2002,279448,2002-01-01
FL,Florida,Marion County,12083.0,FL,2002,271261,2002-01-01
FL,Florida,Martin County,12085.0,FL,2002,131604,2002-01-01
FL,Florida,Miami-Dade County,12086.0,FL,2002,2328122,2002-01-01
FL,Florida,Monroe County,12087.0,FL,2002,78963,2002-01-01
FL,Florida,Nassau County,12089.0,FL,2002,60458,2002-01-01
FL,Florida,Okaloosa County,12091.0,FL,2002,175924,2002-01-01
FL,Florida,Okeechobee County,12093.0,FL,2002,36822,2002-01-01
FL,Florida,Orange County,12095.0,FL,2002,946806,2002-01-01
FL,Florida,Osceola County,12097.0,FL,2002,194071,2002-01-01
FL,Florida,Palm Beach County,12099.0,FL,2002,1185745,2002-01-01
